,"China, mainland",China
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,25900.0,25900.0
1986,24600.0,24600.0
1987,22667.0,22667.0
1988,23385.0,23385.0
1989,23121.0,23121.0
1990,22985.0,22985.0
1991,23046.0,23046.0
1992,23112.0,23112.0
1993,23171.0,23171.0
1994,23382.0,23382.0
1995,23247.0,23247.0
1996,23245.0,23245.0
1997,23247.0,23247.0
1998,23188.0,23188.0
1999,23321.0,23321.0
2000,23429.0,23429.0
2001,23194.0,23194.0
2002,23288.0,23288.0
2003,23378.0,23378.0
2004,23200.0,23200.0
2005,23421.0,23421.0
2006,23701.0,23701.0
2007,23865.0,23865.0
2008,24359.0,24359.0
2009,24125.0,24125.0
2010,24056.0,24056.0
2011,24051.0,24051.0
2012,24224.0,24224.0
2013,24568.0,24568.0
2014,24677.0,24677.0
